,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,RSI,%K,%D,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,conversion_line,base_line,lead_span_A,lead_span_B,lagging_span,CCI
4456,2023-01-19 00:00:00,1511.44,1532.5,1509.15,1528.14,55415.555,1674107999999,84323008.08967,96553,28437.4196,43270100.326409,0,53.70092268150224,24.629407973483126,23.625817143909426,32.56249917399305,-13.399588518363863,45.96208769235691,1555.6950000000002,1423.0,1283.5525,1226.655,1592.15,-148.03943747712248
4457,2023-01-19 06:00:00,1528.14,1532.38,1516.17,1519.61,48576.1802,1674129599999,74098290.49562,89305,24234.9298,36971480.865955,0,51.76174218910846,16.77561918791991,16.88303716662064,27.98415627631016,-14.3823451328374,42.36650140914756,1555.6950000000002,1423.0,1308.7075,1226.655,1601.09,-126.43030225736489
4458,2023-01-19 12:00:00,1519.6,1547.86,1513.33,1529.37,124423.9893,1674151199999,190423047.201605,158132,62908.1291,96289772.539295,0,53.81671815520844,25.761900377497298,22.38897584630018,24.856803222270173,-14.007758549501908,38.86456177177208,1555.6950000000002,1423.0,1319.0925,1226.655,1583.02,-84.23647272352815
4459,2023-01-19 18:00:00,1529.38,1564.43,1528.01,1551.09,80263.74,1674172799999,124376465.148035,133213,42279.8579,65507389.219646,0,58.09505606855667,45.760058926433906,29.43252616395044,23.855978997911052,-12.00686621908882,35.86284521699987,1555.6950000000002,1423.0,1319.0925,1226.655,1578.84,-25.40267167258747
4460,2023-01-20 00:00:00,1551.09,1563.88,1542.74,1547.12,55041.4181,1674194399999,85440321.99825,102079,26126.6399,40559355.328301,0,57.05466451609593,42.10477856550947,37.87557928981362,22.483299289391198,-10.703636742086942,33.18693603147814,1555.6950000000002,1423.0,1326.1025,1226.655,1605.49,-14.938802302219097
4461,2023-01-20 06:00:00,1547.11,1555.85,1542.02,1549.49,56282.4327,1674215999999,87222929.497541,100162,26910.9444,41704230.10246,0,57.54347955954881,44.286898075683595,44.05057852254239,21.340677873435425,-9.477006526434174,30.8176843998696,1555.6950000000002,1423.0,1328.7125,1226.655,1597.62,-16.01858881792762
4462,2023-01-20 12:00:00,1549.48,1596.55,1549.02,1592.02,120288.5856,1674237599999,189145744.943974,193667,65505.5887,102988082.068167,0,65.19867181697414,83.44535493969245,56.61234386029523,23.594969608815518,-5.778171832843263,29.37314144165878,1555.6950000000002,1423.0,1329.5875,1226.655,1600.17,84.37874150372852
4463,2023-01-20 18:00:00,1592.03,1669.9,1583.66,1658.52,208958.561,1674259199999,340418921.430898,314725,111714.8484,181961153.833309,0,73.30397479691887,93.24669159100344,73.65964820212656,30.397107354667924,0.8191727304073133,29.57793462426061,1585.645,1452.95,1329.5875,1226.655,1586.18,205.1635732982887
4464,2023-01-21 00:00:00,1658.53,1676.61,1642.6,1646.02,100349.951,1674280799999,166139346.882429,134542,47715.5098,79013534.140685,0,70.0035738862392,82.54194726629383,86.4113312656633,34.38286077543944,3.843940920943062,30.538919854496378,1589.0,1456.3049999999998,1330.1399999999999,1226.655,1576.49,193.32279006369592
4465,2023-01-21 06:00:00,1646.03,1679.26,1616.21,1647.04,182261.2,1674302399999,300411982.685802,210316,92722.5261,152878727.731336,0,70.12178780747806,81.88564682071173,85.8914285593364,37.19514210766283,5.324977802533162,31.87016430512967,1590.325,1457.63,1348.63,1247.54,1572.1,140.00558172628672
4466,2023-01-21 12:00:00,1647.04,1667.29,1643.29,1655.34,117945.2649,1674323999999,195131886.420592,163646,60127.3541,99477334.294917,0,71.11919169589076,86.55197616236572,83.65985674979049,39.63672842655387,6.213251297139365,33.42347712941451,1590.325,1468.5149999999999,1422.155,1247.54,1597.33,124.0453363837066
4467,2023-01-21 18:00:00,1655.34,1668.88,1622.09,1626.66,93692.185,1674345599999,154306879.358028,140191,42019.9046,69305404.183317,0,63.26074857004327,70.42784055771072,79.62182118026278,38.8100883239581,4.3092889556348695,34.50079936832323,1590.325,1468.5149999999999,1424.03,1262.085,1609.08,82.68607613198733
4468,2023-01-22 00:00:00,1626.65,1636.49,1604.0,1627.73,91810.6835,1674367199999,149031708.358875,123891,47612.6785,77289459.052417,0,63.42313342231306,69.92880485527544,75.63620719178402,37.80551173846038,2.643769896109724,35.16174184235066,1590.325,1468.5149999999999,1426.4025000000001,1264.095,1617.75,50.87407484197627
